BW1,BW2,BW3,DL1,DL2,DL3,PL1,PL2,PL3,MPSNR
0.7584,0.6555,0.9012,469,403,474,2.1,0,0.3,80.1224
0.9667,0.8435,0.988,262,297,108,2.5,0.1,0.8,72.445
0.4911,0.7637,0.3764,447,209,573,2.4,3.4,3.4,46.3158
0.8549,0.6274,0.9817,203,234,482,0.6,2.2,3,71.0215
0.4113,0.3497,0.5086,137,148,286,2.8,2.1,2.5,52.5815
0.9259,0.5941,0.238,127,194,312,2,1.4,0.7,51.3841
0.2267,0.6027,0.5179,127,97,363,3.3,2.7,2.9,39.4184
0.4126,0.6477,0.2286,441,113,392,2,0.7,2.6,47.0603
0.674,0.7675,0.8655,79,3,40,3.4,0.1,4.8,49.196
0.3145,0.4874,0.5974,486,301,109,1.2,2,1.4,55.725
0.7824,0.5354,0.6958,401,484,144,1,1.7,3.1,62.657
0.6226,0.2062,0.9177,290,528,199,0.7,0.9,2.5,37.6064
0.6883,0.3583,0.7972,50,480,338,0.7,4.1,2.3,61.4865
0.6625,0.8956,0.2895,38,378,546,0.4,3.2,2.2,54.5939
0.507,0.6703,0.814,270,38,412,4.5,1.4,2,56.2428
0.5605,0.5308,0.6715,92,502,563,1.2,3.1,3,69.5531
0.8129,0.3175,0.5287,223,176,138,0.7,0.6,4.2,58.4268
0.2744,0.4364,0.5773,533,499,572,3.7,4.9,4.2,33.8598
0.9219,0.7816,0.4256,336,66,426,4.5,0.4,3.9,55.0592
0.6069,0.9587,0.7072,314,459,433,1.4,1.9,4.2,60.4172
0.5178,0.3779,0.2004,269,80,291,0.1,3.2,0.3,34.9337
0.2013,0.6952,0.2259,70,9,396,2.1,0.4,2.5,39.4078
0.9139,0.2819,0.9638,268,59,99,1.8,2.2,1.2,64.4742
0.3657,0.3096,0.5315,69,297,437,1.2,1.1,4.3,50.0665
0.5278,0.4911,0.2068,484,290,39,4.7,1.9,1.8,32.1677
0.4544,0.8137,0.5517,16,349,330,3.2,3.7,1.5,46.5516
0.5002,0.6057,0.6742,323,60,94,4.1,4,0.7,52.8708
0.9807,0.3058,0.7777,445,45,421,5,0.5,3.4,53.5994
0.4217,0.9986,0.5015,356,563,521,1.4,4.1,1.2,61.8382
0.5098,0.509,0.413,53,357,157,2.9,4.9,1,46.8232
0.6751,0.4173,0.6004,516,177,36,1.4,2.5,1.9,66.433
0.6443,0.3169,0.6214,111,295,75,2.9,4.8,5,44.5907
0.2426,0.5745,0.2686,289,271,122,1.7,2.4,0.7,44.1837
0.8382,0.7917,0.3866,229,72,597,3.3,2.4,1.8,51.4941
0.4647,0.9722,0.4025,499,129,555,3.6,4.5,1.4,50.4321
0.6646,0.5464,0.2883,523,229,400,3.7,4.7,1.9,39.5135
0.5112,0.4331,0.6317,147,483,411,1.3,0.3,3.9,57.4426
0.3624,0.5743,0.7259,520,546,257,4.9,3,1.1,49.2848
0.571,0.9604,0.9686,129,593,201,0.4,1.7,0.4,81.1398
0.3256,0.5193,0.9684,157,516,227,2.5,2.5,0.9,64.8853
0.488,0.8241,0.3776,521,203,580,2.2,1.2,1.5,62.8653
0.2468,0.252,0.9571,227,203,203,4.3,2.5,0.7,40.6892
0.52,0.503,0.5476,434,561,125,3.5,3.9,3.3,34.8751
0.9747,0.8272,0.3516,34,129,316,3.7,0.5,0.6,65.1151
1.0452,1.0982,0.6156,437,317,587,1.9,2.9,3.9,46.647
0.5114,0.4337,1.1587,453,326,88,1.6,1.1,1.3,61.0306
0.5709,0.4263,0.6747,548,570,224,3.2,2.6,1.2,59.3788
0.4296,0.293,0.7934,429,459,145,2.8,1.9,0.9,56.5038
0.3568,0.9141,0.8705,444,524,174,3.4,1.3,1.8,57.5313
0.4975,0.581,0.6665,346,311,395,3.5,3.3,0.2,46.5487
1.0616,0.4298,0.8339,150,110,432,2.7,3,1,64.0879
0.9554,0.8653,0.888,343,397,510,0.7,2.6,1.6,52.1793
1.0643,0.5512,0.9692,118,598,22,3.3,2.2,3.8,56.0056
0.529,0.369,0.9865,204,373,478,0.2,3.6,0,68.0407
0.8719,0.8799,0.6782,551,281,507,2.8,0.9,2.4,65.2369
1.0677,0.3258,0.9809,242,575,8,2.7,1.3,3.5,57.9059
0.5176,0.2707,0.3526,20,410,500,1,1.3,4,44.6629
1.0017,0.208,0.3951,33,309,520,3.3,3.5,4,23.5224
0.2481,0.309,0.7328,78,116,486,1.8,1.9,0,51.8257
0.5917,0.8971,0.3903,3,24,365,3.2,2.5,0.1,76.5124
0.6017,0.3331,0.5258,266,462,461,2.9,1,0,62.9281
0.3029,0.3484,0.7583,488,235,563,1,1.9,1.7,55.9943
0.813,0.5638,0.4079,496,187,486,1.5,0.8,3.7,48.2904
0.4109,1.1263,0.6165,252,73,164,1.7,3.4,3.7,58.6139
0.4878,0.5812,1.0682,288,30,104,0.6,1,2.7,74.7705
0.9346,0.9114,0.8678,418,585,273,2.4,2.2,2.9,61.4999
0.6389,0.6692,0.3684,27,223,231,0.8,1.7,3.3,58.6499
0.3122,0.6116,0.5468,314,208,514,0.8,3.3,3.1,45.8547
1.0034,1.185,0.2927,410,122,416,2.4,3.1,1.4,60.1725
0.5322,0.324,0.3247,271,70,348,0.4,0.4,3.8,65.6411
1.1773,1.1559,0.8533,449,93,60,0.3,0.3,1.7,85.5061
0.363,0.7019,0.3212,303,240,375,1.9,2,0.4,62.9015
0.8896,1.0355,1.0614,442,323,501,2.4,0.1,1.5,67.0362
0.7412,0.6448,0.3454,39,546,482,1.3,3.4,1.3,58.6129
0.7184,0.6196,0.6468,372,573,157,2.1,1.5,1.9,61.2947
0.268,0.7181,0.2626,249,454,391,3.9,2.9,3.6,32.8507
0.3146,0.6887,1.1244,136,231,461,3,2.5,1.5,58.8587
0.2865,0.8602,0.4391,410,95,354,1.2,0.4,0.3,77.9346
0.2945,1.1604,0.4003,158,393,362,3.4,2.7,2.7,51.9269
1.1357,1.1237,0.6476,82,15,521,1.9,3.6,2.1,55.4078
0.6905,1.1244,0.2483,597,153,459,0.5,2.8,1.7,40.9265
0.7329,0.4989,0.2001,573,247,525,1.3,2.4,0.7,35.663
0.7385,1.1742,0.6693,425,543,334,3.2,0,0.9,59.3988
0.3084,0.732,0.6655,230,591,435,2.9,3.3,2.5,36.2368
0.2445,0.2276,0.5051,426,423,153,0.8,1,0.8,50.5235
0.4117,1.1958,0.8291,256,358,556,3.3,3.6,0.4,69.8652
1.1236,0.9459,0.3796,466,10,175,2.2,0.3,0.9,60.8011
0.3873,0.3674,1.1627,264,200,450,1.9,2.8,3.9,56.9405
0.5759,0.4713,1.1031,600,244,254,2.1,2.4,0,74.154
0.6772,1.1079,1.119,425,420,568,2.8,2.6,2.1,54.8864
0.7932,0.2728,0.4604,178,435,16,1.6,0.5,1.7,52.6483
0.4787,0.9382,0.9579,469,348,326,1.9,0.9,0.5,72.3858
0.3272,0.9581,0.94,364,16,543,0,1.4,1.6,65.9062
0.2889,0.3388,0.675,549,432,276,1.9,3.7,0.6,58.9946
1.1924,0.3872,0.7766,69,245,522,0.3,3.6,4,57.467
0.3993,0.7605,1.191,35,423,562,1.1,3.6,2.8,54.3915
1.0888,0.8733,0.2597,573,262,315,0.9,2,0.6,51.6344
0.6432,0.7638,0.3679,82,326,568,3.5,0.6,1.4,66.5072
0.5235,0.7016,0.3204,4,79,534,0.2,2.2,2.7,69.1508
0.2089,0.8618,1.1478,19,206,495,0.2,0.7,2.1,38.2536
0.4021,0.6083,0.7364,422,376,124,1.4,1.5,0.4,72.3792
1.0582,0.8456,0.459,358,394,63,3,2.6,4,40.2446
0.7066,0.7036,0.2417,99,400,92,2.8,2.5,4,43.8811
0.9709,0.2404,0.441,447,125,195,3.2,3.5,1.9,33.4647
0.8305,0.9532,0.7589,574,142,135,4,2.5,0.4,63.2372
1.0581,0.4752,0.4513,309,260,468,0.3,3.9,2.4,68.071
0.7431,0.3077,0.8502,94,222,309,1.4,0.8,0.7,79.2541
0.3835,1.0454,0.5992,285,207,63,1.5,3.6,3.8,54.9319
0.9101,0.5171,0.4908,1,320,446,1.3,1.1,0.7,80.5632
0.9466,1.1615,1.01,116,308,79,2.5,1.9,3.4,46.2549
0.9633,0.7466,0.5984,472,441,79,0.3,0.2,3.3,65.9356
0.5525,0.2335,0.7698,525,371,291,3.4,1,2.9,26.0388
0.6746,0.4355,0.2053,566,373,311,0.7,2.7,1.5,34.5027
0.9379,0.2434,0.5207,431,460,279,0.9,2.4,2.7,44.5713
0.803,0.5584,0.5457,183,172,284,0.9,0.5,0.4,83.6628
1.0472,0.8101,0.3617,107,460,97,1.4,0,1.2,75.7384
0.3933,0.2107,0.6287,329,127,262,0.9,0.9,1.3,42.5904
1.0019,0.9221,0.7888,555,53,345,1.7,1.8,0.2,77.7761
1.031,0.2664,0.6145,163,382,301,2.7,3.3,1.4,49.0179
0.9637,0.7122,0.669,203,529,229,0.7,2.9,0.6,67.3271
1.1214,0.4214,0.9604,331,236,234,2.7,1.8,3.3,50.1048
0.8084,0.5116,0.6643,34,253,512,0.1,2,1,75.6016
1.1171,0.8727,0.7818,363,443,577,3.4,1,2.9,55.7057
0.985,0.3695,0.7185,401,239,294,1.4,4,1.6,55.4527
0.6152,0.2516,1.1666,415,490,64,2.9,1,1.3,54.1287
1.1094,0.3148,0.5437,447,301,225,0.1,0.7,3.6,65.0699
0.9803,1.1851,0.3791,534,465,221,2.8,2.7,2.6,41.0969
0.3842,0.7591,0.8295,414,456,242,1.6,3.8,4,50.0559
1.1001,0.787,0.6737,101,251,543,4,2.6,4,60.7698
0.558,0.4415,0.5127,349,463,486,3.2,0.8,2,67.9851
0.6415,0.6752,0.9926,190,100,155,2.5,1.7,1.9,64.775
1.1979,0.392,0.244,20,272,119,3.6,2.6,4,37.0549
0.9344,0.9969,0.4902,179,333,14,1.3,1.7,1,63.6246
0.8885,1.0788,1.0875,114,213,342,3.1,3.7,2.7,59.4742
0.5011,0.252,0.9369,192,154,321,0.2,0.7,3.6,54.2223
1.156,0.5428,0.5653,118,335,313,0.4,1,1.8,80.6484
0.4797,0.4797,0.359,313,341,377,0,4,1.6,57.6149
0.7965,0.4476,0.9099,71,240,21,3,2.2,2.6,56.7868
0.8177,0.8154,0.5969,304,321,0,0.2,0.4,0.4,87.5657
0.9131,0.2806,1.1964,204,54,42,3.5,3.5,1,60.3295
0.298,1.0043,0.215,275,374,239,0.9,0.5,3.2,41.2136
1.1748,0.7652,1.1895,291,35,369,0.8,3.9,2.1,49.1414
0.6852,1.0392,0.7205,209,253,109,3.8,1.1,0.9,59.1824
0.2026,0.4604,0.9868,169,231,376,2.5,3.3,0.1,27.8054
1.17,0.7912,0.9938,377,29,167,2.3,1,3.7,62.3428
0.3134,0.2527,1.0508,351,376,170,2.2,1.3,2.6,45.0723
1.1913,0.6671,0.3353,109,192,312,0.6,0.1,0.9,71.0707
0.2242,1.0477,0.786,99,191,198,3,3.5,1,32.9966
0.4142,0.9848,0.855,299,167,54,1.1,3.4,2.2,56.497
1.1234,0.9032,0.3902,44,393,54,2.4,2.5,3.8,47.4348
0.2761,0.3268,0.376,124,39,146,0.2,0.5,1.8,59.0985
0.8374,0.2589,0.2068,182,83,138,3.4,0.6,3.8,33.7124
1.1577,0.3827,1.1926,76,212,285,3.2,2.3,1.3,56.2556
0.251,0.4613,0.9014,152,99,368,1.4,3.6,1.1,41.6138
1.1689,0.4615,0.7165,287,111,307,2.9,3.1,0.3,58.3529
0.6961,0.7773,0.9064,113,380,21,2.7,0.3,1.6,67.0046
1.1069,0.7623,0.8182,128,181,98,4,1.9,3.2,50.764
0.9621,0.6538,0.9776,266,339,358,1.6,1.6,0.5,83.3071
0.6266,0.9905,0.2405,233,68,209,0.4,2,0.8,44.1597
1.0712,0.7652,0.7231,47,2,63,1.3,1.4,3.6,59.4029
0.6868,0.3756,0.8116,167,331,211,0.2,2,0.6,72.0266
1.0019,0.8061,0.7422,247,352,2,1.9,3.1,1.8,40.0389
0.4344,1.0908,1.092,233,338,70,3,1.4,3.1,64.7623
0.5418,0.4775,0.5705,96,44,87,2.8,2.8,0.5,60.9928
0.5109,0.5772,0.9362,98,253,352,3.5,3.3,2.8,55.7801
0.3745,0.5864,0.8916,187,306,46,0.7,1.1,0.4,77.9727
0.7393,1.1788,0.4875,147,256,149,1.8,1.1,2.2,67.9244
0.3454,0.9735,0.2214,87,188,14,0.9,1.3,2,46.9915
0.953,0.9942,1.1549,293,217,350,3.5,1.6,3.8,61.4847
0.8227,1.0621,0.8014,279,76,116,3,1.3,1.8,61.0629
1.094,0.8779,1.1811,253,25,235,1.8,0.8,3.1,73.8356
0.9512,0.9635,0.4922,48,211,214,2.8,2.3,2.9,56.6924
0.9233,0.6163,0.5626,92,290,396,2,1.9,2.7,65.892
0.4759,0.8032,0.9636,85,168,37,4,0.1,0.5,69.5995
0.8175,0.7154,0.4963,252,4,269,0.7,1.1,2.9,69.5068
0.3828,1.0761,0.4369,389,309,295,2.4,1.4,1.3,72.5397
0.452,1.088,1.0779,253,242,311,1,1.3,1.7,53.2883
1.0932,1.0279,0.2488,197,310,190,3.9,1.1,3.8,34.678
0.6762,0.7294,1.0162,28,95,17,1,2.6,3.2,65.2948
0.9491,0.3204,0.4711,176,125,189,2,3,3.9,53.708
0.3531,0.8799,0.4336,335,172,7,0,2.3,4,55.3708
0.6666,0.3341,0.5425,322,130,75,2.5,1.9,4,50.6306
1.0354,0.7534,1.0657,36,303,106,3.5,2.6,2.1,53.9902
0.8905,0.9923,0.6844,231,383,232,3.3,2,2.2,50.7704
0.7644,0.5843,0.5211,200,210,89,3.3,3.9,2.2,44.3293
1.069,0.7561,0.8128,306,399,1,1.4,2.8,3.3,47.5054
0.3764,1.1802,0.7696,188,94,29,1,2.7,3.3,55.0477
0.61,0.655,0.6855,64,188,139,2.5,4,2.6,54.322
0.5697,0.927,0.357,15,192,312,2.7,0.8,1.5,68.332
0.4571,0.6533,1.1537,99,31,138,4,1.1,0.7,51.6577
0.5856,0.9299,0.3255,337,364,356,0.6,3.7,1.5,55.7825
0.6894,0.8818,0.7518,133,255,359,0.3,2.9,0.3,81.0429
0.779,0.2404,1.0984,224,299,193,1.5,2.7,2.8,39.1369
0.8983,0.5419,1.131,43,315,12,1.8,2,0.8,69.3309
0.3371,1.0666,1.0433,260,82,265,0,1.6,2.9,69.4737
1.0044,0.6492,0.8429,174,357,109,1.6,2.4,1.6,67.2356
1.0182,0.969,0.2415,223,24,129,1.3,0.2,2.4,50.0237
0.383,0.3695,0.428,399,21,304,3,1.6,0.5,67.853
0.829,0.9924,1.0992,141,188,269,3.9,1.6,0.9,73.9181
0.8049,1.0721,0.3623,144,378,321,2.7,3.1,0.6,51.9951
0.7287,0.6548,0.4505,161,378,362,3.8,1.8,0.8,51.0176
0.228,0.7421,1.0718,352,62,361,1.3,0.7,1.2,49.8155
0.8973,0.5468,1.037,343,224,375,2.2,1.6,1.7,64.0932
0.776,0.5301,0.2675,21,316,39,0.3,3.4,1.9,46.8241
0.4298,1.0858,0.443,311,2,99,2.2,2.4,3.5,53.0046
0.7364,0.2849,0.6518,260,165,60,0.3,2.5,3.3,56.9923
1.031,1.0325,0.3312,171,122,61,1.2,0.9,4,57.2569
0.8946,0.9469,0.7933,225,352,61,3,0.4,0.7,74.6017
0.8808,0.2545,0.776,14,47,68,2.9,3.8,0.4,47.3741
0.9889,0.5257,0.5272,205,214,192,0.3,2.9,3.1,68.3151
0.3041,1.191,0.73,86,108,98,0.9,3.5,2.7,47.2922
1.1058,0.6462,1.0992,180,175,113,0.1,0.4,3.1,81.1918
0.6762,0.2205,1.0324,42,60,395,2.2,0.8,0.9,42.7475
0.5381,0.4586,0.7124,224,77,259,3.1,2.5,1.8,48.1898
0.6786,0.5538,0.2059,215,390,252,3,1.4,2.1,34.2988
0.2894,1.1359,0.5774,137,376,383,1.2,3.2,1.1,55.2603
0.2557,0.5196,0.5737,240,192,237,1.1,1.5,3,50.9251
0.5927,0.6992,1.1195,62,121,354,1.6,3.3,1.1,71.8106
0.9581,1.0943,0.2446,11,186,260,0.5,3.5,1.6,48.1098
0.6241,0.664,0.4693,280,207,47,1.8,1.7,0.2,73.6489
0.4863,0.6521,0.5115,107,137,251,1.8,2,2.8,57.8655
0.667,1.0591,1.1004,162,297,104,3.4,3.5,1,59.3435
0.8956,0.4215,0.2098,109,349,150,3.4,3.3,1.2,27.6583
0.8274,0.6488,1.1325,212,91,269,2.1,2.3,2.1,76.6424
1.0577,0.5697,1.0359,221,204,280,0.8,0.3,2,84.4006
0.4851,0.7116,0.3332,166,70,357,1.2,0.3,1.2,81.8019
0.6456,0.3609,0.2252,308,361,154,0.9,2.4,4,41.5316
1.0095,0.2695,1.0474,157,287,370,0.6,1.8,1.6,60.2737
0.7628,0.9107,0.8011,386,117,134,3.4,2.8,2.1,60.6758
0.5824,0.2853,0.4254,81,137,330,0.1,1.6,2.4,68.3805
0.2345,0.8459,0.3202,244,30,95,2.3,0.8,3,42.6483
0.2283,0.7937,0.2404,273,32,87,3.3,1.3,1.1,36.0905
1.1221,0.2278,1.0864,155,123,399,0.5,0.7,1.4,52.4616
0.7119,0.4557,0.4487,289,328,354,2.2,3.7,2.2,47.8696
0.8323,0.9696,0.8453,45,204,349,2.3,2.4,3.5,57.9079
0.8095,1.0546,0.5577,21,291,135,3.9,0.4,2.2,56.1606
0.7436,0.9637,0.3659,42,326,367,3.7,3.7,1.5,55.5087
1.1348,1.1979,0.2926,267,187,178,3.4,0.3,2.3,57.4109
0.903,0.3187,0.3862,103,254,391,0.1,3.9,1.2,67.4151
1.116,1.0013,0.5501,366,379,345,3.7,2.6,1.3,60.7626
0.9462,0.3443,0.6051,307,25,210,3.3,0.6,1.6,67.3584
0.8388,0.5587,0.3642,87,270,300,2.9,2.8,0.6,54.7299
0.7797,0.8055,0.2354,264,68,92,3.7,1,3.8,41.6701
0.8931,0.7585,0.4943,374,200,36,3.9,2.3,0.8,51.2512
0.3234,0.8008,0.4892,41,363,147,3,2.5,1.7,56.7306
1.1992,0.6117,1.0568,273,286,6,2.2,0.6,3.9,51.7107
0.7383,0.4939,0.4986,16,221,234,3.6,0.6,3.3,64.8456
0.6853,0.8597,0.2256,105,110,400,1.2,0.1,0.7,46.6644
0.5511,1.0636,0.2902,68,160,374,0.2,0.8,1,63.5085
0.8429,0.7723,0.8284,143,140,341,3.2,1,0.2,75.6567
0.2818,0.892,1.0013,144,308,16,4,2.3,2.1,44.8768
1.1542,1.1219,1.0093,345,8,173,2.1,2,0.3,75.7313
0.6428,0.4085,0.8314,256,399,46,0.4,1.1,0.9,73.6785
0.4934,0.9186,0.8927,91,221,318,1.9,0.2,0.4,80.7752
1.1772,0.299,0.8767,227,357,257,2.4,1.7,3.4,59.5991
0.3745,0.9789,0.9893,181,276,109,2.1,1.7,1.1,69.084
0.7701,0.9955,0.4516,41,258,104,3.2,4,0.9,61.4354
1.0539,0.6806,1.0314,78,305,235,2.2,1.5,0.8,60.4375
1.1249,0.4545,0.9156,202,261,373,0.2,1.1,3.2,60.4523
0.57,1.0445,0.6558,20,76,37,0.9,1,1.6,78.396
0.8267,0.2069,0.2797,105,36,122,0.6,3.6,3.8,30.9391
1.1306,1.1525,1.0512,380,130,293,3.1,3.1,1.1,45.571
0.3409,1.1359,0.8084,21,3,299,3.6,2.3,1.5,63.9494
0.3526,0.8921,1.1,247,198,363,3.7,2.3,3.6,41.4737
0.4359,0.8686,0.366,157,375,287,1.5,0.5,0.5,61.9555
1.0209,0.8281,0.5666,202,167,239,2.6,3.2,2.3,67.0077
0.4549,0.4454,1.1094,243,58,315,0.2,0.5,2.5,69.5565
0.2468,0.3326,1.1015,384,200,371,0.5,3.2,1.3,51.6578
0.5096,0.7858,0.8875,390,237,322,2.3,1.3,2.8,53.8194
0.3057,0.3732,0.8442,19,187,45,0.3,3.4,4,39.6654
0.5814,1.0482,0.3039,189,343,105,2.5,1.4,2.7,61.2873
0.6079,1.0014,0.4588,387,47,165,0,2,2.3,66.6132
1.1592,1.0088,0.818,291,148,258,2.8,1.3,0.2,63.1471
1.188,0.6196,0.7957,338,74,287,1.3,3.2,2.7,67.9176
0.4792,1.0867,0.3311,309,263,224,1.6,1.3,0.5,68.2235
0.8593,0.8141,0.5248,161,350,190,0.4,3.8,1.7,66.0042
0.2074,0.6305,0.9016,167,144,153,3.5,3.8,1.9,26.4941
0.6805,0.2998,0.6327,85,308,52,3.1,3.6,1.1,46.06
0.8139,0.2596,1.1964,197,215,315,1.8,0.9,2,54.6962
0.7632,0.8383,0.2875,296,30,155,3.7,3.8,3.8,49.0537
0.6562,1.0799,0.3652,348,172,138,3.1,0.1,2.4,55.5203
0.2699,0.3788,1.1727,90,299,346,0,1.2,1.1,62.6338
0.2568,0.597,0.5009,361,334,221,1.2,2.2,1.5,45.7769
1.1959,1.1287,0.6974,188,185,64,0.5,3.3,1,71.5895
0.5633,1.0866,1.0431,396,87,112,0.1,4,1.8,61.224
0.6985,0.6581,0.7464,144,378,284,2.7,0.3,3.1,62.2841
0.4178,0.5426,0.2718,277,25,164,3.6,1.9,3.5,54.6887
0.4139,0.2128,1.0203,226,157,98,0.9,3.4,2.5,26.0574
0.9861,0.9394,1.1387,79,31,233,0.2,2,1,75.6763
0.7469,0.4067,1.186,264,8,84,3.4,0.9,3.4,41.674
0.2572,1.0579,0.2601,337,155,221,3,1.8,2.8,40.0022
0.4502,0.3492,0.7907,340,390,60,1.1,2.3,3.7,52.4336
0.8332,1.1154,0.6705,21,139,192,0.3,0.4,2.7,54.5082
0.7761,0.7276,0.418,201,319,209,0.9,0.7,2.4,72.3932
0.2109,0.3766,0.326,128,96,342,3.5,3.9,1.7,26.2815
0.5608,0.7325,1.0817,23,281,93,2.9,1.7,0.9,71.3107
1.1348,0.7795,1.0921,160,20,193,3,0.3,2.5,57.5449
0.3167,1.1879,0.499,146,17,355,3.9,1.3,2.7,58.0775
0.8534,1.038,0.3466,19,106,347,0.7,3.4,1.2,56.696
0.8975,1.0346,0.3905,237,157,157,3.3,4,1.2,56.5616
0.9806,0.4936,0.6506,28,400,361,1.9,3.8,1.6,66.4115
0.9028,0.2349,0.976,102,325,87,1.3,0.8,0.4,54.4468
1.1483,0.5655,0.6514,282,143,145,0.6,3.2,3.3,72.6349
0.7472,0.5101,0.7741,225,370,158,0.2,0.4,3.2,70.8706
1.0103,0.3297,0.3565,259,177,261,2.8,4,0.5,55.06
0.4529,0.5631,0.8872,372,262,368,1.2,2.8,0.3,72.8807
0.435,0.721,0.3865,180,384,132,0.6,0.9,2.3,61.2114
1.1431,0.5735,0.9163,311,67,135,0.4,3.5,2.8,59.2679
0.3007,0.7559,0.6804,321,176,22,2.7,1.8,3.2,56.2249
0.9799,0.3603,0.2355,2,297,173,3.7,3.9,1.9,26.8106
0.9243,0.513,0.711,321,140,48,3.6,2.7,4,54.0523
0.7357,0.8273,1.0056,221,257,83,3.9,0.9,3.8,50.9579
1.0393,0.7581,0.6433,244,94,189,1.3,1.7,1.1,79.4495
0.9027,1.0009,0.4534,277,92,309,4,2.7,0.9,57.8508
0.457,1.0495,1.0987,122,98,181,0.1,0.5,3.7,66.6088
0.696,0.9203,0.953,242,280,194,2.5,2.8,2.6,66.701
0.9926,0.8417,0.3988,253,22,310,1.8,3.8,3.8,51.2636
0.453,0.6084,0.6949,14,76,232,1.8,0,1,84.1706
0.3999,0.3265,0.3386,220,140,1,0.6,0.8,1.9,76.3145
0.624,1.1264,0.979,372,222,295,3.9,0.6,1.4,56.6096
0.5618,0.3596,0.8562,36,388,130,0.9,3.7,0.8,64.3567
1.0181,0.689,1.0839,310,390,3,2.2,3.6,4,45.0555
0.6623,0.2428,1.1922,177,346,111,3.2,0.6,1.5,39.9146
0.4439,0.2455,0.9608,186,388,305,1.6,3.7,1.6,29.159
0.459,0.2818,0.6462,344,92,239,0.4,0.7,2.6,63.3811
1.1963,0.7633,0.3921,335,306,233,3.1,1.2,1.9,56.1158
0.6542,0.6204,1.1783,272,303,360,0.8,3,0.9,66.3697
1.0734,0.4593,0.2728,203,336,29,4,2.7,2.3,45.5632
1.1597,1.0915,0.4112,59,41,335,2.6,3.2,3,48.5655
0.7859,0.4597,1.1523,393,391,300,0.1,4,2.7,62.1139
0.5468,1.136,0.605,98,255,257,2.9,1.5,0.5,53.3252
