BW 1,Delay 1, PL 1, BW 2, Delay 2, PL 2,BW 3,Delay 3, PL 3
0.97,30,2.83,0.98,82,0.15,0.98,41,1.12
0.99,74,1.04,0.97,21,0.54,1.02,98,0.42
0.61,75,5.4,1.03,35,0.15,0.94,115,0.15
0.82,127,1.71,1.13,21,2.47,0.81,6,1.82
0.7,90,3.26,0.95,118,0.98,0.82,35,0.06
0.56,47,1.59,0.86,34,2.33,0.94,65,0.08
0.76,33,0.25,0.81,105,3.97,1.03,5,0.38
0.51,13,3.85,0.96,4,1.67,0.96,130,0.28
0.68,132,0.35,0.81,97,0.13,1.06,118,0.42
0.89,46,0.78,0.95,116,0.32,1.12,77,0.2
0.95,6,0.2,1.05,53,0,1.19,69,0
0.72,125,0.26,0.98,36,5.07,0.82,35,1.57
0.77,84,1.07,1.15,115,0.14,1.13,74,2.69
0.81,115,8.02,0.84,23,1.13,0.9,24,0.15
0.63,19,0.91,0.81,5,0.56,0.83,102,0.73
0.96,9,2.18,0.9,124,1.01,0.91,20,0.51
0.6,13,3.29,1.1,62,1.55,1.1,9,0.26
