BW 1,Delay 1, PL 1, BW 2, Delay 2, PL 2,BW 3,Delay 3, PL 3, BW 4, Delay 4, PL 4
0.99,5,5.77,0.97,70,1.74,0.93,82,0.09,0.93,77,0.1
0.75,75,0.01,1.06,34,0.22,1.13,45,0.02,1.06,7,0.05
0.8,79,1.18,1.09,28,0.91,0.8,2,0.86,0.91,32,0.85
0.74,61,0.1,1.19,50,0.12,0.97,14,0,1.16,11,0.08
0.86,48,1.37,1.2,6,1.59,1.15,41,3.29,0.92,46,1.75
0.82,16,5.05,1.17,78,1.47,1.16,16,0.13,0.85,41,0.05
0.72,78,0.08,0.96,9,0.28,0.89,59,0.24,1.04,86,0.4
0.88,16,1.56,1.05,5,0.94,0.88,79,3.86,0.91,52,1.54
0.58,29,3.03,1.03,8,3.96,1.01,41,0.4,0.95,86,0.91
0.82,31,2.73,0.86,96,0.06,0.95,75,0,1.1,94,0.01
0.61,20,0.93,0.97,74,2.84,0.84,82,3.67,0.87,37,1.16
0.92,7,4.57,0.82,11,2.24,1.18,91,0.2,0.84,73,0.29
0.99,95,5.12,1.15,59,0.35,1.12,41,0.09,1.18,53,0.14
0.94,64,8.22,0.96,20,0.4,0.98,22,0.07,1.03,17,0.01
0.64,5,2.4,0.85,62,0.24,0.82,80,0.06,1.17,59,0.4
0.72,98,0.75,1.11,86,0.32,1.1,71,0.01,1.13,57,0.02
0.56,11,4.87,1.09,79,4.27,1.03,70,0.23,1.14,1,0.33
0.98,70,0.11,0.91,63,0.4,0.99,53,0.82,0.86,20,0.87
0.66,64,1.96,0.95,50,3.9,1.01,84,0.12,1.06,41,0.62
0.69,66,2.17,1.11,53,0.85,0.91,33,0.15,0.94,81,0.13
0.58,38,3.46,0.92,99,0.32,1.17,93,0.25,1.07,30,0.57
0.91,18,3.76,1.19,50,0.03,0.81,93,0.18,0.98,86,0.13
0.94,77,3.9,1.18,64,3.01,1.07,4,0.5,1.04,74,1.69
0.66,65,2.26,1.16,90,0.66,0.88,83,0.67,0.93,32,0.21
0.6,93,6.18,0.96,88,0.3,0.86,54,0.66,1.02,60,0.66
0.81,88,0.67,1.04,30,2.11,1.17,62,2.2,0.94,25,0.22
0.69,83,4.59,0.99,80,0.25,1.09,24,0.11,1.09,48,0.15
0.66,29,3.01,1.2,6,0.2,0.83,96,0.08,0.86,44,0.01
0.79,25,0.45,0.85,6,1.21,1.07,25,2.59,0.91,11,4.35
0.55,62,3.97,0.81,10,0.04,1.12,37,0.02,0.9,100,0.07
0.89,48,1.31,0.88,34,0.28,0.93,17,3.05,1.07,39,2.06
0.68,47,6.86,0.82,56,0.99,0.97,2,1.26,0.95,48,0.69
0.57,93,2.34,1.18,99,0.22,1.19,89,0.02,1,1,0.02
0.55,62,5.2,1.08,50,0.17,1.06,11,0.88,0.89,43,0.15
0.9,92,7.14,0.89,79,1.13,1.18,21,0.03,1.14,91,0.1
0.98,32,3.74,1.19,96,0.34,0.94,99,0.02,1.13,10,0
0.58,36,2.43,1.17,96,1.86,1.11,18,2.47,0.84,47,0.14
0.8,89,0.57,0.99,26,1.1,0.99,74,2.98,0.91,11,0.65
0.96,99,0.18,0.88,84,0.01,0.96,87,0.83,1.18,1,3.68
0.74,79,6.27,1.05,24,0.17,1.01,63,1.18,1.1,67,1.18
0.55,44,3.5,1.19,47,1.22,1.05,63,0.07,0.99,59,0.41
0.68,1,4.02,0.89,77,3.17,0.98,46,1.18,1.05,65,1.23
0.78,24,0.61,1.03,97,2.68,1.16,91,0,0.94,78,0.21
0.58,29,8.08,1.08,12,0.01,1.19,18,0.73,0.96,66,0.28
0.86,35,5.03,1.15,4,0.31,1.08,21,0.44,0.86,48,0.02
0.92,31,0.65,0.91,22,2.52,0.82,47,0.5,0.89,27,0.63
0.78,58,4.04,1.13,99,2.28,1.15,92,0.54,1.06,4,0.64
0.59,62,4.98,0.83,99,1.51,1.05,95,1.49,0.92,97,1.72
0.99,46,4.29,0.93,22,0.21,1.14,32,0.16,1.15,76,0.04
0.94,91,5.25,1.16,43,0.35,0.84,44,0.72,1.1,68,0.28
0.55,84,0.68,1.01,17,0.03,0.83,41,2.75,1.17,37,4.94
0.56,38,0.45,1.16,33,2.12,1.19,30,1.63,0.94,22,2.1
0.95,98,9.69,1.17,34,0.05,1.19,21,0.04,1.16,26,0.22
0.61,76,7.63,1.02,50,0.03,0.94,19,0.14,0.86,81,0.1
0.71,35,1.88,0.95,11,4.6,1.1,39,0.15,0.91,62,2.87
0.62,76,0.73,0.97,56,0.01,0.98,29,0.02,0.87,26,0.04
0.72,66,3.68,0.82,32,0.06,0.99,67,0.15,0.82,92,0.11
0.83,24,0.37,0.85,26,0.41,1.07,65,0.01,1.06,84,0.01
0.87,39,0.26,1.16,24,1.85,1.04,33,2.1,1.1,84,0.49
0.64,22,2.9,0.99,88,3.3,1.18,53,0.18,1,59,0.02
0.68,25,1.6,1.16,87,0.02,1.05,48,0.94,0.9,83,0.34
0.55,76,1.4,1.1,91,0.05,1.04,77,0.02,0.9,16,0.03
0.94,2,0.11,0.91,66,0.05,1.12,16,0,0.81,43,0.24
0.68,99,0.5,0.92,72,0.52,0.94,92,0.01,0.92,28,0.07
0.74,50,2.28,0.91,69,1.54,0.87,81,0.06,0.83,39,0.12
0.9,52,1.97,0.9,25,2.24,0.86,44,0.04,1.08,66,0.45
0.93,75,4.31,0.84,77,0.58,0.83,91,0.21,1.07,41,0.3
0.69,92,0.36,1.19,5,0.72,0.97,7,0.18,0.85,29,0.04
0.83,41,6.03,0.97,12,0.37,0.94,68,0.08,0.85,83,0.42
0.79,49,0.38,0.81,31,0.31,0.95,64,0.05,0.95,58,0.66
0.62,52,6.06,0.95,56,0.89,1.17,58,0.8,1.09,62,0.05
0.98,28,4.87,1.1,33,0.8,1.1,18,0.53,0.99,84,2.9
0.79,97,0.24,1.16,2,0.9,1.17,84,0.09,0.95,10,0.17
0.76,35,1.36,1,65,3.46,1.2,33,0.93,0.83,9,0.25
0.59,27,3.33,0.81,11,1.45,0.85,20,0.33,1.07,89,2.39
0.7,38,1.37,0.86,4,0.98,0.85,14,0.02,1.17,24,0.03
0.9,39,1.04,1.06,77,0.12,0.89,83,5.63,1.08,30,2.71
0.92,33,3.36,1.18,59,2.04,1.1,99,0.29,1.19,91,0.11
0.84,44,4.29,1.06,98,0.4,1.19,39,0.01,1.15,38,0
0.99,14,0.52,0.94,78,0.08,0.98,12,0.56,1,14,1.54
0.64,57,5.51,0.94,36,1.01,0.86,80,0.17,1.14,37,0.01
0.83,54,0.11,1.01,22,1.14,0.98,28,0.34,1.08,4,0.21
0.87,42,2.48,0.97,65,0.55,1.12,71,2.62,0.97,75,2.85
0.89,78,5.68,1.2,92,1.64,0.9,77,0.28,1.09,52,0.6
0.91,33,0.42,0.85,85,0.3,1.01,64,0.11,0.91,22,0.47
0.76,76,2.28,0.84,96,0.28,0.97,75,0.02,0.85,49,0.02
0.98,2,0.78,1.14,74,0.37,0.89,16,0,1.12,72,0.05
0.98,17,2.03,1.17,95,0.05,1.16,73,0.02,1.14,12,0
0.68,67,1.76,1.09,66,0.08,1.18,13,0.04,1.16,37,0.02
0.5,12,3.17,1,58,0.68,1.17,9,1.42,1.17,13,0.13
0.73,44,1.44,0.91,88,0.39,1.02,79,1.35,0.87,17,0.82
0.82,14,0.17,0.84,49,0.08,0.8,7,0.01,0.84,81,0.04
1,61,3.7,0.94,81,0.45,1,91,0.02,0.97,52,0.03
0.91,80,0.03,1.17,69,1.39,0.93,79,0.01,0.96,36,0.07
0.64,79,0.08,1.2,8,0.1,1.03,17,0.47,0.83,72,0.05
0.53,89,0.74,0.93,24,1.31,1.09,86,0.67,1.19,88,0.48
0.56,72,5.45,0.96,0,0.22,0.84,79,0.04,1.07,30,0.09
0.54,87,6.36,0.83,34,1.92,1.04,78,0.01,0.9,18,0.11
0.8,36,0.63,0.92,49,0.05,0.99,26,0.53,1.05,89,1.69
0.85,17,0.7,1.12,95,0.11,1.07,3,0.37,0.98,58,0.12
0.74,68,3.78,0.89,8,0.74,1.04,88,1.05,0.82,11,0.13
0.65,61,2.81,0.81,40,0.18,1.02,5,0.06,0.91,58,0.05
0.6,43,0.13,1.14,74,3.81,1.09,16,2,0.85,20,1.36
